195,69,Tybalt Capulet,70,8,1m,Ani,5,10,7,1,1.277
196,69,Isaac Jacobi,78,9,1m,Lancelot,6,10,8,1,1.254
197,69,Esme Truus,68,9,10f,Emsrocks,5,9,5,2,1.252
198,69,Lucrezia Eckhart,73,8,6f,Kari,6,7,7,0,1.249
199,68,Maye Talliago,74,8,6f,Charade,4,13,11,0,1.231
200,68,Bella Rose,78,9,10f,Ryan,7,8,7,1,1.145
201,68,Erebus Turner,67,8,5m,Greenbeads,6,5,6,0,1.140
202,68,Raven Barker,75,9,7f,Dars,4,21,8,1,1.138
203,68,Eliana Ledessa,60,8,6f,Phunke,3,9,6,2,1.113
204,68,Sage Scarborough,75,9,12m,Kaplan,7,13,6,0,1.078
205,68,Fionnbharr Stoddard,68,9,8m,Rave,8,3,4,0,1.046
206,67,Gavin Barker,67,8,7m,Dars,5,9,6,1,1.024
207,67,Lily Hope,70,8,8f,Puppy,5,9,6,1,1.024
208,67,Emerald Shore,63,8,1f,Nofo,4,12,8,1,1.014
209,67,Anastasia Estrange,54,9,10f,Tori,8,6,5,0,1.010
210,67,Cyrus Malloc,61,8,6m,Luke,5,9,8,0,0.987
211,67,Ivar Hammerfell,75,9,2m,Emsrocks,3,26,7,2,0.954
212,66,Shayde Truedhart,59,7,9m,Arx,4,11,9,0,0.936
213,66,Rocko Hopkins,54,9,6m,Marisa,7,7,6,0,0.934
214,66,Demeter Merwin-Glory,62,9,2F,Python,7,7,6,0,0.934
215,66,Cassie Radke,65,8,5f,Mylee,6,7,4,1,0.888
216,66,Bolts Spark,74,8,3m,Chevi,5,10,8,0,0.842
217,66,Anani Petros,56,9,12m,Kevin,7,5,5,0,0.825
218,65,Elettra Eckhart,75,9,6f,Ghosty,7,9,5,0,0.825
219,65,Ember Milan,56,9,9f,Reeallia,7,6,1,2,0.755
220,65,Saskia Hamilton,58,8,9f,Greenbeads,5,8,7,0,0.733
221,65,Clementina Ogden,76,9,7f,Arx,3,17,5,3,0.715
222,65,Raquel Izar,76,9,11f,Solo,5,11,7,1,0.712
223,65,Reese LaChance,74,8,7m,Dars,5,11,8,0,0.698
224,64,Daniela Rasoio,77,8,8f,Frankel,7,3,4,1,0.674
225,64,Curse Jinx,75,9,4m,Jorg,5,15,7,0,0.671
226,64,Jequirity Eckhart,71,9,6f,Arx,7,12,5,1,0.647
227,64,Noelia Tibideaux,72,9,10f,Azaleah,6,10,5,1,0.605
228,64,Adelaide Throes,76,9,3f,Kay,7,6,7,0,0.601
229,64,Alfie Larson,77,8,12m,Mylee,6,6,7,0,0.601
230,64,Elodie Magpie,63,8,5f,Arx,7,6,4,0,0.572
231,63,Chester Meisenzahl,76,9,7m,Emsrocks,7,7,3,2,0.531
232,63,Nadene Albertine,57,8,7f,Arrowchaser,5,7,4,1,0.517
233,63,Bran Wolfe,62,9,8M,Rosetta,8,4,3,0,0.504
234,63,Chaske Parks,69,8,9m,Emsrocks,7,4,1,1,0.500
235,63,Dane Allore,72,9,10m,Dars,4,17,11,0,0.488
236,63,Emmery Johnson,73,8,5f,Jess,5,10,5,1,0.482
237,62,Sami Hawkings,55,7,10f,Cel,5,9,6,0,0.457
238,62,Sonja Arcopello,67,8,6f,Kiah,6,7,5,0,0.454
239,62,Dante Ramadar,61,8,2m,Snakebird,5,10,7,0,0.445
240,62,Gabrielle Bellamonte,75,9,4f,Chaos,5,18,5,1,0.420
241,62,Windy Mathers,54,9,4f,Greenbeads,7,8,5,0,0.392
242,62,Caine Winchester,78,9,10m,Tom,5,13,9,0,0.386
243,61,Henrietta 'Hettie' Cheyne,72,9,4f,Frankel,5,12,6,1,0.384
244,61,Fledger Rells,60,8,4m,Morgana,6,5,2,1,0.382
245,61,Ingran Ansgot,75,9,6m,Elegant,3,28,8,1,0.375
246,61,Nachele Hale,55,7,11f,Molly,3,15,8,1,0.369
247,61,Claire Partridge,66,9,7f,Loren,5,12,8,0,0.347
248,61,Blaire Sycamore,68,9,5m,Arx,4,10,6,1,0.343
249,61,Yaron Raidan,60,8,8f,Wolf Tears,5,8,6,0,0.336
250,60,Desimae Warble,74,8,11f,Grim,5,8,6,0,0.336
251,60,Noah Ripley,63,8,4m,Windy,6,8,5,0,0.309
252,60,Zanne Mason,55,7,8f,Atoa,4,10,7,0,0.286
253,60,Cha Leviane,68,9,8f,Pogue,6,7,1,2,0.280
254,60,Exar Shan,78,9,2m,Cato,6,11,8,0,0.277
255,60,Jim Deer,68,9,12m,Kire,3,14,6,2,0.268
256,59,Scarlett Stroms,75,9,10f,Zoë,2,35,10,1,0.263
257,59,Anya Crider,58,8,8f,Matta,2,15,9,1,0.237
258,59,Elise Wheaton,59,7,11f,Ev,3,13,9,0,0.223
259,59,Olivia Revenue,70,8,2f,Marr,4,15,7,1,0.184
